TIME,COUNTS
1781380834.0,5.0
1781380835.0,1.0
1781380836.0,1.0
1781380837.0,5.0
1781380838.0,1.0
1781380839.0,4.0
1781380840.0,3.0
1781380841.0,1.0
1781380842.0,4.0
1781380843.0,4.0
1781380844.0,6.0
1781380845.0,1.0
1781380846.0,6.0
1781380847.0,3.0
1781380848.0,3.0
1781380849.0,5.0
1781380850.0,5.0
1781380851.0,1.0
1781380852.0,2.0
1781380853.0,6.0
1781380854.0,5.0
1781380855.0,3.0
1781380856.0,6.0
1781380857.0,7.0
1781380858.0,5.0
1781380859.0,2.0
1781380860.0,2.0
1781380861.0,6.0
1781380862.0,1.0
1781380863.0,6.0
1781380864.0,2.0
1781380865.0,3.0
1781380866.0,1.0
1781380867.0,5.0
1781380868.0,3.0
1781380869.0,3.0
1781380870.0,6.0
1781380871.0,3.0
1781380872.0,7.0
1781380873.0,4.0
1781380874.0,4.0
1781380875.0,2.0
1781380876.0,2.0
1781380877.0,6.0
1781380878.0,4.0
1781380879.0,2.0
1781380880.0,2.0
1781380881.0,4.0
1781380882.0,4.0
1781380883.0,6.0
1781380884.0,5.0
1781380885.0,2.0
1781380886.0,3.0
1781380887.0,5.0
1781380888.0,4.0
1781380889.0,4.0
1781380890.0,2.0
1781380891.0,4.0
1781380892.0,3.0
1781380893.0,3.0
1781380894.0,2.0
1781380895.0,4.0
1781380896.0,7.0
1781380897.0,1.0
1781380898.0,5.0
1781380899.0,1.0
1781380900.0,2.0
1781380901.0,4.0
1781380902.0,2.0
1781380903.0,3.0
1781380904.0,4.0
1781380905.0,6.0
1781380906.0,3.0
1781380907.0,2.0
1781380908.0,6.0
1781380909.0,2.0
1781380910.0,2.0
1781380911.0,1.0
1781380912.0,2.0
1781380913.0,5.0
1781380914.0,6.0
1781380915.0,5.0
1781380916.0,3.0
1781380917.0,3.0
1781380918.0,2.0
1781380919.0,2.0
1781380920.0,1.0
1781380921.0,1.0
1781380922.0,3.0
1781380923.0,5.0
1781380924.0,1.0
1781380925.0,5.0
1781380926.0,2.0
1781380927.0,1.0
1781380928.0,2.0
1781380929.0,5.0
1781380930.0,3.0
1781380931.0,8.0
1781380932.0,8.0
1781380933.0,2.0
1781380934.0,4.0
1781380935.0,3.0
1781380936.0,3.0
1781380937.0,2.0
1781380938.0,6.0
1781380939.0,3.0
1781380940.0,2.0
1781380941.0,0.0
1781380942.0,2.0
1781380943.0,4.0
1781380944.0,2.0
1781380945.0,3.0
1781380946.0,6.0
1781380947.0,2.0
1781380948.0,0.0
1781380949.0,0.0
1781380950.0,3.0
1781380951.0,1.0
1781380952.0,2.0
1781380953.0,2.0
1781380954.0,3.0
1781380955.0,3.0
1781380956.0,1.0
1781380957.0,3.0
1781380958.0,2.0
1781380959.0,5.0
1781380960.0,3.0
1781380961.0,4.0
1781380962.0,3.0
1781380963.0,2.0
1781380964.0,3.0
1781380965.0,2.0
1781380966.0,3.0
1781380967.0,7.0
1781380968.0,3.0
1781380969.0,3.0
1781380970.0,8.0
1781380971.0,2.0
1781380972.0,3.0
1781380973.0,3.0
1781380974.0,3.0
1781380975.0,3.0
1781380976.0,3.0
1781380977.0,1.0
1781380978.0,1.0
1781380979.0,2.0
1781380980.0,3.0
1781380981.0,5.0
1781380982.0,6.0
1781380983.0,2.0
1781380984.0,3.0
1781380985.0,3.0
1781380986.0,4.0
1781380987.0,1.0
1781380988.0,7.0
1781380989.0,5.0
1781380990.0,2.0
1781380991.0,8.0
1781380992.0,4.0
1781380993.0,3.0
1781380994.0,2.0
1781380995.0,4.0
1781380996.0,3.0
1781380997.0,4.0
1781380998.0,3.0
1781380999.0,3.0
1781381000.0,3.0
1781381001.0,5.0
1781381002.0,2.0
1781381003.0,2.0
1781381004.0,3.0
1781381005.0,4.0
1781381006.0,3.0
1781381007.0,2.0
1781381008.0,3.0
1781381009.0,6.0
1781381010.0,6.0
1781381011.0,1.0
1781381012.0,0.0
1781381013.0,5.0
1781381014.0,3.0
1781381015.0,1.0
1781381016.0,2.0
1781381017.0,3.0
1781381018.0,0.0
1781381019.0,1.0
1781381020.0,3.0
1781381021.0,5.0
1781381022.0,4.0
1781381023.0,8.0
1781381024.0,5.0
1781381025.0,4.0
1781381026.0,4.0
1781381027.0,3.0
1781381028.0,4.0
1781381029.0,6.0
1781381030.0,5.0
1781381031.0,2.0
1781381032.0,2.0
1781381033.0,5.0
1781381034.0,9.0
1781381035.0,4.0
1781381036.0,4.0
1781381037.0,2.0
1781381038.0,4.0
1781381039.0,2.0
1781381040.0,1.0
1781381041.0,6.0
1781381042.0,2.0
1781381043.0,2.0
1781381044.0,2.0
1781381045.0,2.0
1781381046.0,3.0
1781381047.0,4.0
1781381048.0,2.0
1781381049.0,5.0
1781381050.0,1.0
1781381051.0,6.0
1781381052.0,1.0
1781381053.0,5.0
1781381054.0,2.0
1781381055.0,4.0
1781381056.0,6.0
1781381057.0,1.0
1781381058.0,2.0
1781381059.0,4.0
1781381060.0,2.0
1781381061.0,2.0
1781381062.0,5.0
1781381063.0,7.0
1781381064.0,3.0
1781381065.0,2.0
1781381066.0,3.0
1781381067.0,2.0
1781381068.0,4.0
1781381069.0,4.0
1781381070.0,4.0
1781381071.0,2.0
1781381072.0,3.0
1781381073.0,6.0
1781381074.0,5.0
1781381075.0,3.0
1781381076.0,3.0
1781381077.0,3.0
1781381078.0,2.0
1781381079.0,4.0
1781381080.0,1.0
1781381081.0,1.0
1781381082.0,1.0
1781381083.0,4.0
1781381084.0,3.0
1781381085.0,3.0
1781381086.0,3.0
1781381087.0,4.0
1781381088.0,4.0
1781381089.0,3.0
1781381090.0,2.0
1781381091.0,4.0
1781381092.0,4.0
1781381093.0,3.0
1781381094.0,2.0
1781381095.0,9.0
1781381096.0,3.0
1781381097.0,2.0
1781381098.0,3.0
1781381099.0,5.0
1781381100.0,4.0
1781381101.0,4.0
1781381102.0,4.0
1781381103.0,3.0
1781381104.0,3.0
1781381105.0,5.0
1781381106.0,6.0
1781381107.0,4.0
1781381108.0,7.0
1781381109.0,4.0
1781381110.0,1.0
1781381111.0,4.0
1781381112.0,2.0
1781381113.0,6.0
1781381114.0,5.0
1781381115.0,4.0
1781381116.0,2.0
1781381117.0,6.0
1781381118.0,4.0
1781381119.0,5.0
1781381120.0,2.0
1781381121.0,6.0
1781381122.0,4.0
1781381123.0,3.0
1781381124.0,6.0
1781381125.0,4.0
1781381126.0,5.0
1781381127.0,4.0
1781381128.0,2.0
1781381129.0,5.0
1781381130.0,2.0
1781381131.0,3.0
1781381132.0,2.0
1781381133.0,1.0
1781381134.0,4.0
1781381135.0,2.0
1781381136.0,3.0
1781381137.0,4.0
1781381138.0,0.0
1781381139.0,5.0
1781381140.0,4.0
1781381141.0,2.0
1781381142.0,4.0
1781381143.0,3.0
1781381144.0,5.0
1781381145.0,7.0
1781381146.0,1.0
1781381147.0,2.0
1781381148.0,2.0
1781381149.0,5.0
1781381150.0,5.0
1781381151.0,1.0
1781381152.0,2.0
1781381153.0,1.0
1781381154.0,2.0
1781381155.0,4.0
1781381156.0,2.0
1781381157.0,2.0
1781381158.0,10.0
1781381159.0,7.0
1781381160.0,3.0
1781381161.0,6.0
1781381162.0,4.0
1781381163.0,2.0
1781381164.0,3.0
1781381165.0,1.0
1781381166.0,3.0
1781381167.0,1.0
1781381168.0,6.0
1781381169.0,4.0
1781381170.0,1.0
1781381171.0,4.0
1781381172.0,3.0
1781381173.0,2.0
1781381174.0,7.0
1781381175.0,5.0
1781381176.0,4.0
1781381177.0,12.0
1781381178.0,8.0
1781381179.0,5.0
1781381180.0,5.0
1781381181.0,2.0
1781381182.0,3.0
1781381183.0,4.0
1781381184.0,2.0
1781381185.0,5.0
1781381186.0,6.0
1781381187.0,3.0
1781381188.0,6.0
1781381189.0,2.0
1781381190.0,3.0
1781381191.0,4.0
1781381192.0,2.0
1781381193.0,2.0
1781381194.0,5.0
1781381195.0,4.0
1781381196.0,4.0
1781381197.0,4.0
1781381198.0,8.0
1781381199.0,8.0
1781381200.0,1.0
1781381201.0,1.0
1781381202.0,2.0
1781381203.0,5.0
1781381204.0,3.0
1781381205.0,6.0
1781381206.0,4.0
1781381207.0,3.0
1781381208.0,6.0
1781381209.0,3.0
1781381210.0,5.0
1781381211.0,2.0
1781381212.0,2.0
1781381213.0,5.0
1781381214.0,6.0
1781381215.0,2.0
1781381216.0,2.0
1781381217.0,7.0
1781381218.0,5.0
1781381219.0,3.0
1781381220.0,5.0
1781381221.0,3.0
1781381222.0,3.0
1781381223.0,4.0
1781381224.0,1.0
1781381225.0,2.0
1781381226.0,4.0
1781381227.0,7.0
1781381228.0,4.0
1781381229.0,5.0
1781381230.0,5.0
1781381231.0,4.0
1781381232.0,3.0
1781381233.0,6.0
1781381234.0,2.0
1781381235.0,4.0
1781381236.0,2.0
1781381237.0,1.0
1781381238.0,3.0
1781381239.0,3.0
1781381240.0,4.0
1781381241.0,2.0
1781381242.0,1.0
1781381243.0,3.0
1781381244.0,0.0
1781381245.0,3.0
1781381246.0,2.0
1781381247.0,1.0
1781381248.0,4.0
1781381249.0,6.0
1781381250.0,4.0
1781381251.0,7.0
1781381252.0,3.0
1781381253.0,1.0
1781381254.0,5.0
1781381255.0,5.0
1781381256.0,1.0
1781381257.0,3.0
1781381258.0,4.0
1781381259.0,3.0
1781381260.0,2.0
1781381261.0,6.0
1781381262.0,2.0
1781381263.0,4.0
1781381264.0,4.0
1781381265.0,1.0
1781381266.0,7.0
1781381267.0,4.0
1781381268.0,2.0
1781381269.0,3.0
1781381270.0,3.0
1781381271.0,6.0
1781381272.0,5.0
1781381273.0,3.0
1781381274.0,1.0
1781381275.0,2.0
1781381276.0,7.0
1781381277.0,2.0
1781381278.0,2.0
1781381279.0,4.0
1781381280.0,6.0
1781381281.0,2.0
1781381282.0,1.0
1781381283.0,2.0
1781381284.0,3.0
1781381285.0,5.0
1781381286.0,4.0
1781381287.0,4.0
1781381288.0,2.0
1781381289.0,6.0
1781381290.0,6.0
1781381291.0,2.0
1781381292.0,6.0
1781381293.0,3.0
1781381294.0,3.0
1781381295.0,3.0
1781381296.0,3.0
1781381297.0,6.0
1781381298.0,3.0
1781381299.0,2.0
1781381300.0,4.0
1781381301.0,8.0
1781381302.0,2.0
1781381303.0,3.0
1781381304.0,7.0
1781381305.0,2.0
1781381306.0,4.0
1781381307.0,3.0
1781381308.0,2.0
1781381309.0,2.0
1781381310.0,2.0
1781381311.0,5.0
1781381312.0,6.0
1781381313.0,2.0
1781381314.0,6.0
1781381315.0,3.0
1781381316.0,5.0
1781381317.0,2.0
1781381318.0,4.0
1781381319.0,1.0
1781381320.0,4.0
1781381321.0,3.0
1781381322.0,3.0
1781381323.0,4.0
1781381324.0,2.0
1781381325.0,2.0
1781381326.0,2.0
1781381327.0,3.0
1781381328.0,4.0
1781381329.0,3.0
1781381330.0,3.0
1781381331.0,4.0
1781381332.0,4.0
1781381333.0,1.0
1781381334.0,3.0
1781381335.0,6.0
1781381336.0,7.0
1781381337.0,2.0
1781381338.0,1.0
1781381339.0,0.0
1781381340.0,3.0
1781381341.0,3.0
1781381342.0,2.0
